title,description,duration_seconds,release_date,guest,comedian,comedian_sub,comic,comic_sub,phd,phd_sub,actor,actor_sub,writer,writer_sub,author,author_sub,ufc,ufc_sub,musician,musician_sub,artist,artist_sub,founder,founder_sub,youtuber,youtuber_sub,podcast,podcast_sub,ceo,ceo_sub,philanthropist,philanthropist_sub,singer/songwriter,singer/songwriter_sub,screenwriter,screenwriter_sub,scientist,scientist_sub,co-host,co-host_sub,journalist,journalist_sub,entrepreneur,entrepreneur_sub,astrophysicist,astrophysicist_sub,politician,politician_sub,pilot,pilot_sub
#1931 - Mike Glover,"Mike Glover is a Special Forces/CIA veteran, outdoorsman, CEO of Fieldcraft Survival, and host of ""The Black Rifle Coffee Podcast."" www.fieldcraftsurvival.com",177.68,2023-01-26,Mike Glover,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#1930 - Adam Curry,"Adam Curry is an internet entrepreneur, former MTV VJ, and podcasting pioneer. He is the co-host, along with John C. Dvorak, of the ""No Agenda"" podcast.  www.noagendashow.net",199.0,2023-01-25,Adam Curry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
#1929 - Louis CK,"Louis C.K. is a stand-up comedian, writer, actor, and filmmaker. Catch ""Louis C.K.: Back to the Garden,"" an exclusive livestream event, on January 28 at www.louisck.com. www.louisck.com",176.25,2023-01-21,,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JRE MMA Show #134 with Belal Muhammad,"Joe sits down with Belal Muhammad, a mixed martial artist competing in the UFC welterweight division. www.ufc.com/athlete/belal-muhammad",177.2,2023-01-19,Belal Muhammad,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#1928 - Jimmy Corsetti & Ben van Kerkwyk,"Jimmy Corsetti is the independent researcher behind ""Bright Insight"": a YouTube channel exploring ancient mysteries and lost civilizations. Ben van Kerkwyk is an independent researcher and creator of UnchartedX.com and the UnchartedX YouTube channel, dedicated to exploring the mysteries of the past with a focus on ancient engineering, precision, and technology. www.youtube.com/c/BrightInsight   www.rumble.com/c/BrightInsight www.unchartedx.com   www.youtube.com/c/unchartedx",180.76,2023-01-18,Jimmy Corsetti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#1927 - Forrest Galante,"Forrest Galante is an international wildlife adventurer, conservationist, author of ""Still Alive: A Wild Life of Rediscovery"" and host on Discovery Channel. www.instagram.com/forrest.galante",156.74,2023-01-17,Forrest Galante,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#1926 - Matt McCusker & Shane Gillis,"Matt McCusker is a comedian, writer, and proud co-host of ""Matt and Shane's Secret Podcast."" Shane Gillis is a stand-up comedian and co-host of ""Matt and Shane's Secret Podcast."" Also look for ""Gilly and Keeves"" sketches on YouTube, a new sketch show created by John McKeever and Shane Gillis.",198.02,2023-01-14,Matt McCusker,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"#1925 - Sonny, from Best Ever Food Review Show","Sonny Side is the host of the ""Best Ever Food Review Show"" on YouTube, a series devoted to exploring and appreciating the world's unique culinary offerings. www.besteverfoodreviewshow.com",176.47,2023-01-13,Best Ever Food,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#1924 - Andrew Santino,"Andrew Santino is a standup comedian and actor. He's the host of the ""Whiskey Ginger"" podcast and co-host of the ""Bad Friends"" podcast with Bobby Lee. Look for his new comedy special ""Andrew Santino: Cheeseburger"" is now streaming on Netflix. www.andrewsantino.com",200.43,2023-01-12,Andrew Santino,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
#1923 - Mike Baker,"Mike Baker is a former CIA covert operations officer and current CEO of Portman Square Group, a global intelligence firm. He's also the host of ""Black Files Declassified"" on Discovery+ and the Science Channel, and author of the new book ""Company Rules, Or Everything I Know About Business I Learned from the CIA,"" available exclusively from Scribd.com on January 18.  https://try.scribd.com/baker/",157.11,2023-01-11,Mike Baker,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#1922 - Sam and Colby,Sam Golbach and Colby Brock are YouTubers best known to audiences for their explorations of haunted and paranormal locations. https://www.youtube.com/@samandcolby,162.95,2023-01-10,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
